,score_1,score_2,score_3
MG33,67.65172653353365,53.477744066706244,52.087777407811586
MG34,65.65402518989254,58.519046598969894,58.122877174361356
MG35,58.48017067411738,51.28643337916536,52.210992808031556
MG36,68.30280346758383,48.98577767826642,60.58203753274499
MG38,70.95347881285105,43.87498688581822,61.18789998993426
MG39,67.41059251797282,47.76146984061845,59.34528573898166
MG3,64.03779373488699,57.97934141869881,42.807726487231186
MG40,65.72090392516635,53.65350407815437,51.644108055877204
MG41,67.97916891553363,54.91243396973602,53.63718531658645
MG42,74.05440349816479,46.90163909534712,47.52819293492861
MG44,64.0473439341096,54.5293739784625,48.923390308382956
MG45,70.33560422038401,56.730905144759035,55.42121437478584
MG46,73.58159504039295,66.00581271294597,48.08931944826379
MG48,55.37724924900991,56.98725930122178,59.788346149881974
MG49,58.819798235595094,56.94640418331547,57.985870795228756
MG4,75.90619748868393,69.70752731310489,48.69647291954632
MG50,54.115489076312585,73.50250089406967,54.59983206194254
MG51,54.687576780457434,68.55922101178231,54.8367765921622
MG52,67.88501178252788,43.30310345107209,43.867440477385266
MG53,55.87157542389026,52.989548326946974,55.98928661155716
MG55,68.09035550575933,54.36703355955488,55.608962051513124
MG56,63.656831234264665,67.47438632377266,32.06343956025501
MG57,71.2567025886876,70.3366207435413,48.45276854874422
MG58,74.90503305495571,60.77265577582734,35.059137947506464
MG59,65.66970174148028,53.58135932824304,58.219984902848275
MG5,75.03931916868768,58.86818990360087,51.16822966608669
MG60,66.4757455153341,75.53088061538094,51.224186811194436
MG61,57.6487104301429,75.00438620851797,52.8982812864416
MG62,71.48427136865519,57.912357897446114,48.866313507749126
MG63,63.16801340288132,58.33014081083442,52.68955511027824
MG64,64.46754828820231,62.28315893416923,52.1706942395915
MG65,69.0716977235054,60.68285807655229,58.52250268007107
MG66,59.05649493272109,61.598326911130414,57.41721156133023
MG67,63.70839545295812,55.09693153333548,67.96531429392118
MG68,63.54622995416939,63.677644793881505,51.692120952011614
MG69,67.48413560082675,59.48095507428267,41.06283050820801
MG6,69.93880974649758,55.83614612858267,55.60553695402833
MG70,72.26147473888162,78.63740619305266,43.67704986865864
MG71,70.06969586532998,63.82363986473915,50.15436955832216
MG72,67.94868003299027,56.110725930058265,64.28858292975157
MG73,70.68265363602781,54.267648367756074,57.95252360812462
MG74,68.29802858162992,65.79673273434396,51.889283138560266
MG75,59.78881130159463,53.81742298555831,46.512309450157524
MG76,72.22347854000748,74.40679905089527,62.29776753187955
MG77,67.83613701168136,53.40445993932427,57.90541761089166
MG78,73.82505795349572,70.87484677472845,59.549041656118426
MG79,70.80503917739189,66.06818258708128,61.5167616822002
MG7,71.00647596043336,50.399735416132216,76.83300351506651
MG80,67.33483209827374,61.03324116862813,48.821018849395756
MG81,53.78249635456062,72.228647895888,56.60345631138148
MG82,62.191179480285186,71.82569916249507,58.52532443229132
MG83,68.29237297231091,69.12448428612159,47.542234474455256
MG84,58.594908216354035,61.70585915911413,45.629943328712095
MG85,58.57032268515596,59.67232095398895,58.122541257594754
MG86,67.29823499826475,54.161034354346,63.68613027321594
MG88,68.51113195497152,64.19889761790843,53.27891148377924
MG89,67.89024052276382,72.00541864445704,58.789822836452174
MG8,65.55731894944803,52.629569755367044,79.27618449012033
MG90,67.97921175150638,67.37648892151618,57.81804804071735
MG91,59.968139666307145,59.090785659917174,63.210421279770244
MG92,72.91324935821703,57.849448671694375,62.675725062713404
MG93,65.54199980497374,55.44651487921766,56.85635053162885
MG94,61.48695841357353,57.61016967770071,53.49358117679924
MG95,65.3803934965301,67.68804197116704,59.387728824778506
MG96,50.56710183307719,53.584614996219216,52.86804844855366
MG97,63.35715063406137,65.45590115801261,56.53135628524701
MG98,62.48400619500253,60.72783378629598,54.47478244672601
MG99,65.23596748232896,64.81850342597384,66.02855059104274
MG9,60.30781784371159,49.24548809454656,45.94972519956647
