,score_1,score_2,score_3
MG14,41.74179885791308,-20.493625808676242,10.742523291290821
MG150,43.658210405964425,-9.94256912758503,-12.836992074959483
MG151,48.56047270352688,-12.7678756367093,-19.45231500334941
MG152,43.24356112166371,-16.83673036994262,-17.8566508484297
MG154,27.76295065518148,-19.461735897580237,-18.567490329702853
MG156,46.959469402712216,-10.028243485584134,-17.61816896832131
MG15,47.24943519869559,-26.35139720692912,-6.735992054115261
MG162,52.40175800582164,-21.423186656524376,-9.576763852099504
MG163,39.81907974502897,-13.136561569483181,-17.20604638262353
MG16,40.05186866443269,-12.60490604236649,0.24690339040934683
MG170,48.53065163912352,-28.951212433331886,-11.798656479050482
MG172,49.212687551960684,-12.062846422140952,-18.815968453122533
MG176,45.94398244893022,-14.750892488295325,-12.103806788949184
MG187,46.80990491555052,-8.770368071911617,-15.819576275315022
MG188,48.57438370261707,-23.416577393691437,-17.98393329280377
MG18,49.73213490402371,-27.124427800847194,-13.867257413037038
MG196,44.030299419061514,-23.984389479006904,-10.95021984649076
MG198,46.15927277953227,-9.631713568016405,-19.522176518526006
MG19,44.86538375817164,-24.25334275077826,-1.868114233197533
MG1,41.73772825737862,-35.433490657804725,-18.634881816214406
MG201,48.09627195910808,-8.384938063664716,-12.836489866985364
MG202,50.07988226899344,-13.334430645933978,-11.024303361243526
MG203,37.39069053777242,-5.813303796944784,-25.271774293645255
MG204,39.518506827217124,-4.7417311985107755,-18.42930052026323
MG205,32.481901741207324,-21.885496856637058,-30.14962240999509
MG206,37.03317376723034,-29.16778223598913,-12.854124680204697
MG207,32.70599218424807,-7.551354977818706,-19.884268357342844
MG209,43.685039441872824,-10.16655566260695,-16.08768142705259
MG20,36.17829994791333,-33.603255872306,-12.677116585080588
MG21,34.07189505628202,-23.497694600367108,2.271502282613139
MG221,42.63227299841072,-27.673335222355266,-12.665993250659008
MG222,37.036982007141205,-15.218693945513715,-21.16219908011737
MG225,41.962596279706844,-15.041287934551374,-16.182722936328435
MG22,51.07421973739727,-25.851370212824747,-12.335620939844588
MG23,34.67182871267127,-30.139553380540935,-7.248493157407408
MG24,39.16340666184548,-30.68769458035288,-13.407084817133242
MG25,36.457792871467106,-17.776282326868525,-10.296737047167763
MG26,51.95447768331194,-18.57059377512224,-4.513195933061554
MG27,38.326517863800326,-24.825986633693372,2.413925597999395
MG28,41.02515820240443,-32.06334563089734,-0.02714041118928737
MG29,36.95119476206928,-38.03463076228699,-1.4501011481425206
MG2,34.00906316285967,-23.394346053692693,-21.649649886631323
MG30,38.09919591300334,-22.737788754318395,-13.81073759576389
MG32,39.978631104525384,-32.23996480034243,-17.374365176714303
MG33,44.34860359491022,-20.09223765530727,-7.802282763631407
MG34,44.83412051714535,-25.230935357243357,-8.952570250981022
MG35,41.97987148904926,-23.16544555345141,6.220808826330322
MG36,35.531853875839474,-19.736166119941846,-0.5481138259040684
MG38,55.71009007142882,-24.571706230670433,-3.380739767356962
MG39,49.08483054072069,-21.542467726933847,-2.4990023409329574
MG3,40.71015738664894,-24.05066340870034,-0.2576111586503675
MG40,48.61980024686614,-28.628869780094075,3.615684958759413
